ID,Licensing Entity Name,License Name,License Description,ISIC Number,Service Name,Ministry Involved,Service Fees,Service Duration,Conditions/Requirements,Service Description,Additional Information
336,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Issuance of a commercial register,Ministry of Commerce,Depending on entity classification,Depending on entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","It is not required to issue a branch register in the event of a desire to practice the same activity, in the same administrative region, and under the same existing trade name.

This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment.		"
337,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Registration with government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on investor type,Depending on investor type,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after issuing the commercial register at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically.
338,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Issuance of a commercial activity license and safety certificate,"MOMRAH
Civil Defense",Depending on entity classification + survey fees of 20 SAR,5 days,"Presence of a valid commercial register.
Presence of a permit from the Civil Defense, if there is an office.
Presence of articles of association for companies.
Presence of the title deed or lease contract if there is an office.
Applicant shall not be prohibited from practicing the activity.
Applicant shall be committed to fulfilling the conditions of the activity.
Applicant shall be committed to updating the data in the system.
Applicant shall be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the Power of attorney.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactionsthrough the beneficiary's account are binding.
The attached documents shall match the original copies.","Fulfilling all the procedures, conditions and data required to conduct the  activity, and inspecting the site to to ensure it is licensed in accordance with safety conditions and requirements.","This procedure is automated.
This procedure requires payment.
This step is illustrative and not mandatory for the issuance of the permit."
339,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Submission of documents,"Communications, Space and Technology Commission",Free,Instant,No data available,"Submitting all required documents through the licenses portal, after logging in through the national unified access portal.","This procedure requires creating a new account if it does not exist.
This procedure is automated."
340,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Issuance of the permit,"Communications, Space and Technology Commission",5000 SAR,Instant,"Presence of a valid commercial register, the validity period of which is not less than 3 months.
Presence of a valid general class license, the validity period of which is not less than 6 months.
Submitting the application through the electronic licensing system.
Providing information about the entity and its representative.
Paying the fees for issuing the required permit.
Obtaining the approval of the relevant entities in the event of cancellation of the permit.",Obtaining the permit after verifying the completeness of the documents and fulfilling the necessary conditions.,"This procedure is automated.
This procedure requires payment."
341,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Issuance of cadres visas,Ministry of Human Resources and Social Development,Depending on visas,14 days,No data available,Submitting an application for cadres visas.,"This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist.
This step is not mandatory to issue the permit, but is required to run the activity."
342,Ministry of Communications and Information Technology,Internet Service Provider (ISP) permit,"This service enables the investor to issue or cancel an Internet Services Permit (ISP), which enables the provision of a range of services in the following fields:

Dialup Internet Access.
Broadband Internet Access.
Email.
IP Allocation and Assignment.
Web Design and Hosting.
Network Monitoring.
 DNS Registration Subject to Applicable Regulations
Internet Content Publishing Service.
Internet Advertising.",611003,Commencing activity,No data available,No data available,No data available,No data available,Start practicing the activity after issuing the permit.,No data available
343,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
344,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Issuance of a commercial register,Ministry of Commerce,Depending on entity classification,Depending on entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","It is not required to issue a branch register in the event of a desire to practice the same activity, in the same administrative region, and under the same existing trade name.

This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment.		"
345,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Registration with government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on investor type,Depending on investor type,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after issuing the commercial register at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically 
346,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Issuance of a commercial activity license and safety certificate,"MOMRAH
Civil Defense",Depending on entity classification + survey fees of 20 SAR,5 days,"Presence of a valid commercial register.
Presence of a permit from the Civil Defense, if there is an office.
Presence of articles of association for companies.
Presence of the title deed or lease contract if there is an office.
Applicant shall not be prohibited from practicing the activity.
Applicant shall be committed to fulfilling the conditions of the activity.
Applicant shall be committed to updating the data in the system.
Applicant shall be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the Power of attorney.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactions through the beneficiary's account are binding .
The attached documents shall match the original copies.","Fulfilling all the procedures, conditions and data required to conduct the  activity, and inspecting the site to to ensure it is licensed in accordance with safety conditions and requirements.","This procedure is automated.
This procedure requires payment.
This step is illustrative and not mandatory for the issuance of the permit."
347,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Submission of documents,"Communications, Space & Technology Commission",Free,Instant,No data available,"Submitting all required documents through the licenses portal, after logging in through the national unified access portal.","This procedure requires creating a new account if it does not exist.
This procedure is automated."
348,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Permit issuance,"Communications, Space & Technology Commission",5000 SAR,15 days,"Presence of a valid commercial register, the validity period of which is not less than 3 months.
Presence of a valid general class license, the validity period of which is not less than 6 months.
Paymet of the fees for issuing the required permit.
Obtainment of approval of the relevant entities in the event of cancellation of the permit.
Provision of regulatory requirements for the service.
Submission of the application through the electronic licensing system.
Provision of a description of the servicesthat shall be provided in the Kingdom through this permit
 Provision of technical specifications for the systems and devices that shall be used in providing the service.
 Provision of a list of the beneficiaries and target entities for providing the service.
 Presentation of the service provision mechanism in the Kingdom in detail.
 Introduction of the structure of the system and the work flow of the system in detail with the coding method used.
 Provision of a mechanism for linking with telecommunications service providers licensed by the Communications, Space and Technology Commission.
 Submission of the original bank guarantee (500,000) SAR in Arabic after sending it and approving it electronically when applying for the issuance of a service permit for the first time, provided that it is in accordance with the specific version shown in Appendix (A) of the Short Message Services Regulations document, and its duration shall not be less than one renewable year.
 Submission of all required documents and information in Arabic, and supporting documents (if any) may be submitted in English.
 Submission of owners' and mangers' data  in the commercial register, including: (full name - ID number - copy of ID).
 Provision of employee data (full name - ID number - copy of ID) for the following positions:
   i. Chief officer in the entity (General Manager / Chairman).
  ii. The person responsible for communicating with the commission, and the one who is obligated to fulfill regulatory requirements.
  iii. The entity's representative before government entities and other licensees.",Obtaining the permit after verifying the completeness of the documents and fulfilling the necessary conditions.,"This procedure is automated.
This procedure requires payment."
349,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Issuance of cadres visas,Ministry Human Resources and Social Development,Depending on visas,14 days,No data available,Submitting an application for cadres visas.,"This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist.
This step is not mandatory to issue the permit, but is required to run the activity."
350,Ministry of Communications and Information Technology,Permit to provide short message services (SMS),"This service enables the investor to issue or revoke a permit for short message services (text, audio, video), which are provided through licensed public telecommunications networks in the Kingdom, and are delivered directly to the beneficiary for the purpose of promoting a specific product, providing him with information, answering inquiries and other services. This includes broadcasting public messages to a specific region, and the permit allows purchasing the necessary infrastructure to provide and operate the service.",631122,Commencing activity,No data available,No data available,No data available,No data available,Start practicing the activity after issuing the permit.,No data available
351,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"Adding 10,000 SAR to subscribe to business relations services at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.
This is basic, create a new account if it does not exist.
This procedure is automated.
This is the basic procedure."
352,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Issuance of a commercial register,Ministry of Commerce,Depending on entity classification,Depending on entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","It is not required to issue a branch register in the event of a desire to practice the same activity, in the same administrative region, and under the same existing trade name.

This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment.		"
353,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Registration with government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on investor type,Depending on investor type,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after issuing the commercial register at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically 
354,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Informing the Commission of the desire to obtain the permit,"Communications, Space & Technology Commission",No data available,No data available,No data available,"Submitting a letter to the Communications, Space and Technology Commission stating the investors' desire to obtain the permit.",This step is illustrative and not mandatory for the issuance of the permit.
355,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Agreement conclusion,No data available,No data available,No data available,No data available,"Concluding an agreement signed with the virtual network operator for the Internet of Things, which includes the possibility of providing services to those wishing to benefit from the communication process between machines and devices.",No data available
356,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Field inspection to check the safety of the building,Civil Defense,150 SAR,Undefined,No data available,Ensuring the application of safety requirements and adherence to security instructions.,"This procedure requires payment.
This step is illustrative and not mandatory for the issuance of the permit."
357,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Issuance of a commercial activity license and safety certificate,"Ministry of Municipal, Rural Affairs and Housing
Civil Defense",Depending on entity classification + survey fees of 20 SAR,5 days,"Presence of a valid commercial register.
Presence of a permit from the Civil Defense, if there is an office.
Presence of articles of association for companies.
Presence of the title deed or lease contract if there is an office.
Applicant shall not be prohibited from practicing the activity.
Applicant shall be committed to fulfilling the conditions of the activity.
Applicant shall be committed to updating the data in the system.
Applicant shall be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the Power of attorney.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactions through the beneficiary's account are binding.
The attached documents shall match the original copies.","Fulfilling all the procedures, conditions and data required to conduct the  activity, and inspecting the site to to ensure it is licensed in accordance with safety conditions and requirements.","This procedure is automated.
This procedure requires payment.
This step is illustrative and not mandatory for the issuance of the permit."
358,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Submission of documents,"Communications, Space & Technology Commission",Free,Instant,No data available,Submitting  all required documents via sealed envrlope delivered by person or sent by mail.,No data available
359,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Issuance of the permit,"Communications, Space & Technology Commission",100 000 SAR,15 days,"Presence of a valid commercial register, the validity period of which is not less than 3 months.
Presence of a valid general class license, the validity period of which is not less than 6 months.
Paying the fees for issuing the required permit.
Obtaning the approval of the relevant authorities in the event of cancellation of the permit.
Providing regulatory requirements for the service.
Submitting the application through the electronic licensing system.
Providing information about the entity and its representative as well as a profile of the applicant.
Providing data of any direct or indirect ownership relations between the applicant and any service provider in the Kingdom. In such a case, the Communications, Space and Technology Commission reviews these ownership relationships, and then decides to approve or reject the application according to the conditions determined and sole discretion.
Submitting all required documents and information in Arabic, and supporting documents (if any) can be submitted in English.
Submitting a signed copy of any agreement for operators of virtual communications networks for the Internet of Things, or a draft thereof, an award letter, or any other similar document concluded between the applicant and any service provider in the Kingdom, provided that it is in Arabic and may be accompanied by an English translation or the original English version.
Submitting a financial identification letter from a Saudi bank or an international bank approved by the Saudi Cenral Bank confirming that the applicant will be entitled to sufficient funding to implement the action plan submitted to the Communications, Space and Technology Commission.
Submittibg an action plan that includes the following:
  i. ‌ Corporate Strategy: presenting a high-level strategy with a statement of the method and extent of its contribution to advancing the development of the telecommunications market in the Kingdom.
  ii. Market study: Providing forecasts for the market and its divisions.
  iii. Customer care service plan, after-sales services, proposed service levels, and a continuous development plan to ensure quality services.
  iv. Services: they include the applicant’s services and products  planned to be provided, and sectors targeted, the timing of their provision, and the proposed approach to providing innovative services of virtual communication network operators for the Internet of Things.
  v. ‌Organizational Structure: It includes management, marketing, finance, information security, regulatory affairs and compliance, sales, customer care, operations, and technical support.
  vi. Human Resources Plan: Presentation of the detailed plan for human resources and the level of compliance with the Saudization rates established in accordance with the Kingdom’s laws, regulations, and legislation.
  vii. Financial Summary: Provides a financial summary of service delivery for the first 5 years of operation, including profit and loss statements, budget, statement of cash flows, financing plan, financial information for the main scenarios that govern the revenue model, bottom-up analysis of capital, and operating costs for telecom network operator services virtualization of the Internet of Things.
viii. The names of the departments and a profile of the persons authorized to handle and archive subscriber data.
 Submission of the technical plan to include the following:
  i. The proposed launch date for the services.
  ii. Description and design of any planned infrastructure, systems and operations, including the following details:
        a. Network operations.
       b. Customer care, after-sales services, and suggested service levels.
        c. Monitoring the performance of services, and the continuous development of the quality of services.
       d. Subscriber bills.",Obtaining the permit after verifying the completeness of the documents and fulfilling the necessary conditions.,"This procedure is automated.
This procedure requires payment."
360,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Issuance of cadres visas,Ministry of Human Resources and Social Development,Depending on visas,14 days,No data available,Submitting an application for cadres visas.,"This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist.
This step is not mandatory to issue the permit, but is required to run the activity."
361,Ministry of Communications and Information Technology,License to Provide IoT-VNO Services,"This service enables the investor to issue or cancel a permit for IoT virtual communication network operator services, which are provided for the purpose of enabling automated communication between machines and devices via data communication chips (SIM), embedded data communication chips (eSIM), or any equivalent future means.",619018,Commencing activity,No data available,No data available,No data available,No data available,Starting to practice the activity after issuing the permit.,No data available
362,Ministry of Communications and Information Technology,Permit to Provide Global Mobile Personal Communication by Satellite Services,"This service enables the investor to issue or cancel a permit for personal mobile communications services via satellite, which includes providing voice services, data/internet services, and emergency services within the Kingdom.","613011 , 613012",Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
363,Ministry of Communications and Information Technology,Permit to Provide Global Mobile Personal Communication by Satellite Services,"This service enables the investor to issue or cancel a permit for personal mobile communications services via satellite, which includes providing voice services, data/internet services, and emergency services within the Kingdom.","613011 , 613012",Issuance of a commercial register,Ministry of Commerce,Depending on entity classification,Depending on entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","It is not required to issue a branch register in the event of a desire to practice the same activity, in the same administrative region, and under the same existing trade name.

This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment.		"
